티커,회사명,시가,고가,저가,종가,거래량,등락률,시장
060310,3S,1578,1592,1548,1561,"194,289",-1.89,코스닥
095570,AJ네트웍스,4590,4630,4560,4620,"70,335",1.43,코스피
006840,AK홀딩스,8320,8350,8080,8080,"12,868",-1.58,코스피
054620,APS,3790,3940,3710,3770,"15,200",1.89,코스닥
265520,AP시스템,19570,19700,18890,19000,"119,396",-3.11,코스닥
211270,AP위성,15380,15720,14760,15140,"1,426,338",-1.88,코스닥
139050,BF랩스,0,0,0,2805,0,0.0,코스닥
027410,BGF,3705,3775,3705,3775,"52,755",1.89,코스피
282330,BGF리테일,102400,104500,102250,103400,"54,217",1.08,코스피
126600,BGF에코머티리얼즈,3700,3965,3670,3920,"135,595",4.67,코스닥
138930,BNK금융지주,15430,15510,15180,15300,"726,741",-0.2,코스피
001460,BYC,39950,40250,39500,39500,"3,163",-0.75,코스피
001465,BYC우,23000,23750,22950,23250,462,0.0,코스피
083790,CG인바이츠,1340,1350,1297,1347,"231,843",1.05,코스닥
001040,CJ,174900,186200,174700,179200,"148,653",2.81,코스피
079160,CJ CGV,5850,5900,5740,5820,"260,319",0.0,코스피
035760,CJ ENM,62200,62400,61300,61600,"44,399",-0.65,코스닥
311690,CJ 바이오사이언스,8770,8910,8690,8690,"28,370",-0.91,코스닥
00104K,CJ4우(전환),152900,159500,152900,157000,"11,300",2.68,코스피
000120,CJ대한통운,94200,97100,93300,93500,"89,911",-0.43,코스피
011150,CJ씨푸드,2770,2860,2765,2845,"351,904",2.71,코스피
011155,CJ씨푸드1우,15600,15600,15240,15470,"3,670",-0.96,코스피
001045,CJ우,89000,93300,88700,91500,"11,521",3.04,코스피
097950,CJ제일제당,204500,208500,203500,207500,"80,331",1.97,코스피
097955,CJ제일제당 우,137000,138200,136700,137600,"5,012",0.66,코스피
051500,CJ프레시웨이,24950,25700,24750,25500,"14,963",1.59,코스닥
058820,CMG제약,1768,1777,1756,1767,"306,077",-0.06,코스닥
056730,CNT85,564,580,564,577,"53,517",2.3,코스닥
000480,CR홀딩스,4680,4700,4660,4695,"11,379",0.54,코스피
065770,CS,741,811,731,751,"161,875",1.35,코스닥
083660,CSA 코스믹,470,480,460,468,"425,982",-0.43,코스닥
000590,CS홀딩스,74500,74800,74400,74400,179,-0.53,코스피
012030,DB,1457,1470,1447,1449,"260,743",-0.34,코스피
477760,DB금융스팩12호,2165,2170,2140,2145,"51,218",-0.92,코스닥
005830,DB손해보험,122500,124200,121000,123600,"327,218",0.0,코스피
016610,DB증권,11970,12120,11800,11950,"117,487",-0.42,코스피
000990,DB하이텍,72400,73500,71100,71900,"293,173",0.28,코스피
099520,DGI,0,0,0,1284,0,0.0,코스닥
000300,DH오토넥스,0,0,0,1984,0,0.0,코스피
290120,DH오토리드,2580,2685,2515,2645,"111,306",2.52,코스닥
025440,DH오토웨어,1000,1029,926,937,"3,510,537",-4.39,코스닥
001530,DI동일,19800,19840,19150,19210,"43,800",-0.83,코스피
015590,DKME,0,0,0,515,0,0.0,코스피
000210,DL,34700,35150,33900,34850,"48,653",0.72,코스피
000215,DL우,22000,22000,21550,21800,"4,602",-0.68,코스피
375500,DL이앤씨,39700,41150,39650,41100,"195,370",4.31,코스피
37550L,DL이앤씨2우(전환),29900,31200,29850,31150,"3,083",3.66,코스피
37550K,DL이앤씨우,21000,21200,20500,21200,"9,581",0.95,코스피
068790,DMS,0,0,0,6330,0,0.0,코스닥
007340,DN오토모티브,23350,25400,23250,25000,"177,652",6.16,코스피
004840,DRB동일,4900,4990,4875,4930,"15,239",0.61,코스피
241520,DSC인베스트먼트,7370,7540,7210,7280,"357,809",-1.36,코스닥
155660,DSR,3740,3785,3740,3775,"6,300",0.94,코스피
069730,DSR제강,3665,3750,3665,3705,"10,710",1.09,코스피
017860,DS단석,17300,17470,17180,17200,"48,783",-0.58,코스피
180400,DXVX,3340,3670,3340,3600,"483,797",5.88,코스닥
092780,DYP,3180,3260,3165,3250,"18,198",2.2,코스피
017940,E1,79700,79700,78600,79000,"3,711",0.13,코스피
418620,E8,1316,1330,1295,1306,"177,363",-0.76,코스닥
245620,EDGC,0,0,0,415,0,0.0,코스닥
037370,EG,5720,5880,5600,5750,"52,663",0.52,코스닥
278990,EMB,3495,3595,3000,3595,93,2.86,코넥스
365550,ESR켄달스퀘어리츠,4360,4440,4360,4435,"429,099",0.11,코스피
050120,ES큐브,2845,2915,2790,2860,"12,861",1.24,코스닥
383220,F&F,63900,64200,62700,64000,"84,601",0.31,코스피
007700,F&F홀딩스,18680,19050,18340,18510,"7,450",-0.11,코스피
214270,FSN,1812,1880,1785,1830,"103,816",0.72,코스닥
130500,GH신소재,2545,2630,2490,2545,"42,094",-0.2,코스닥
114090,GKL,13890,14220,13780,14050,"222,313",2.18,코스피
900290,GRT,3400,3480,3255,3275,"298,616",-3.68,코스닥
078930,GS,56500,58100,56300,57200,"218,568",2.51,코스피
083450,GST,27250,27900,26500,27200,"350,511",-0.55,코스닥
006360,GS건설,18600,18720,18450,18670,"366,514",1.19,코스피
001250,GS글로벌,2215,2255,2205,2235,"246,118",1.13,코스피
007070,GS리테일,20150,20150,19740,19860,"106,799",-1.44,코스피
078935,GS우,48050,48550,48050,48400,"5,444",0.73,코스피
499790,GS피앤엘,44500,45300,43200,43500,"79,469",-2.25,코스피
297890,HB솔루션,2135,2160,2095,2115,"189,003",-0.94,코스닥
440290,HB인베스트먼트,1980,2020,1979,1990,"66,928",-0.1,코스닥
078150,HB테크놀러지,1950,1967,1894,1938,"827,412",-0.56,코스닥
225530,HC보광산업,2815,2840,2800,2800,"18,878",-1.23,코스닥
060560,HC홈센타,742,742,734,737,"26,933",-1.47,코스닥
012630,HDC,16080,16310,15850,15990,"95,807",-0.12,코스피
039570,HDC랩스,8100,8100,8025,8090,"11,001",-0.12,코스피
089470,HDC현대EP,4250,4255,4130,4155,"68,250",-2.46,코스피
294870,HDC현대산업개발,20350,20700,20200,20650,"154,727",1.98,코스피
009540,HD한국조선해양,426500,447000,422500,447000,"425,836",5.3,코스피
267250,HD현대,199300,206000,197100,205000,"200,441",4.33,코스피
267270,HD현대건설기계,103500,111600,103500,110000,"206,146",6.28,코스피
443060,HD현대마린솔루션,185500,192500,183000,192200,"407,501",4.4,코스피
071970,HD현대마린엔진,95900,100500,94800,100500,"565,568",4.47,코스피
322000,HD현대에너지솔루션,53200,54000,52400,53900,"86,952",3.45,코스피
042670,HD현대인프라코어,0,0,0,13800,0,0.0,코스피
267260,HD현대일렉트릭,855000,855000,825000,848000,"140,739",-1.62,코스피
329180,HD현대중공업,583000,609000,579000,609000,"309,982",4.64,코스피
376270,HEM파마,49950,50000,48500,49000,"31,322",-2.39,코스닥
097230,HJ중공업,25400,26300,24450,26250,"2,518,248",6.49,코스피
195940,HK이노엔,53300,54800,53100,53900,"241,272",2.08,코스닥
014790,HL D&I,2505,2570,2505,2550,"34,276",1.59,코스피
028300,HLB,50300,50700,49600,50600,"458,541",-0.78,코스닥
003580,HLB글로벌,2320,2345,2280,2300,"92,161",-0.86,코스피
278650,HLB바이오스텝,1405,1420,1390,1404,"276,459",-1.34,코스닥
343090,HLB사이언스,0,0,0,2080,0,0.0,코넥스
067630,HLB생명과학,4150,4285,4125,4270,"263,155",1.43,코스닥
024850,HLB이노베이션,2030,2080,1992,2065,"264,435",1.72,코스닥
187420,HLB제넥스,2760,2765,2680,2765,"37,209",-0.18,코스닥
047920,HLB제약,16410,16800,16280,16640,"84,095",0.42,코스닥
115450,HLB테라퓨틱스,3110,3215,3075,3215,"234,552",3.38,코스닥
046210,HLB파나진,1746,1756,1719,1723,"79,063",-1.32,코스닥
196300,HLB펩,9400,9460,9090,9240,"26,155",-1.7,코스닥
204320,HL만도,57600,57800,55800,56900,"1,332,071",0.35,코스피
060980,HL홀딩스,43300,43800,40600,42800,"26,058",-0.93,코스피
011200,HMM,20100,20200,19910,20000,"1,057,976",0.2,코스피
403870,HPSP,33600,34750,32700,33100,"1,808,902",-3.78,코스닥
036640,HRS,5050,5160,5050,5130,"34,221",0.98,코스닥
035000,HS애드,8410,8460,8370,8450,"10,512",0.84,코스피
002460,HS화성,11220,11950,11050,11050,"12,527",-1.52,코스피
487570,HS효성,52500,53800,52200,52900,"10,416",0.76,코스피
298050,HS효성첨단소재,179000,184100,178900,182900,"9,688",2.18,코스피
467930,IBKS제23호스팩,2225,2240,2225,2240,"2,400",0.45,코스닥
469480,IBKS제24호스팩,2215,2230,2215,2230,308,0.0,코스닥
003560,IHQ,400,407,365,365,"562,132",-16.28,코스피
015360,INVENI,65300,65600,64300,64500,"13,023",-0.92,코스피
095340,ISC,108900,113000,108200,109500,"136,726",-1.44,코스닥
175330,JB금융지주,25000,25250,24450,24550,"311,229",-1.41,코스피
950170,JTC,4085,4595,4045,4470,"609,780",10.51,코스닥
234080,JW생명과학,12700,12700,12520,12580,"36,841",-0.94,코스피
067290,JW신약,1880,1912,1867,1876,"598,984",-0.32,코스닥
001060,JW중외제약,28400,28450,27150,27350,"67,642",-3.19,코스피
001067,JW중외제약2우B,59600,59700,59600,59700,2,-0.33,코스피
001065,JW중외제약우,29300,29300,28700,29200,537,-0.68,코스피
096760,JW홀딩스,3495,3570,3475,3500,"64,476",1.01,코스피
035900,JYP Ent.,70500,71100,69300,69400,"454,628",-2.94,코스닥
318000,KBG,4330,4395,4315,4330,"27,145",-0.12,코스닥
008970,KBI동양철관,1651,1689,1643,1685,"925,987",2.18,코스피
024840,KBI메탈,1736,1794,1710,1790,"259,872",3.17,코스닥
105560,KB금융,124600,127800,123500,126600,"1,006,164",2.51,코스피
415640,KB발해인프라,9970,9980,9770,9900,"133,116",-0.1,코스피
432320,KB스타리츠,3510,3535,3460,3525,"83,164",0.14,코스피
024120,KB오토시스,3575,3575,3500,3535,"28,217",-1.26,코스닥
455250,KB제25호스팩,2100,2105,2100,2105,"86,046",0.0,코스닥
464680,KB제27호스팩,2065,2065,2062,2065,"50,348",0.24,코스닥
478390,KB제29호스팩,2075,2075,2050,2060,"39,895",-0.58,코스닥
486630,KB제30호스팩,2055,2055,2052,2052,"1,027",-0.39,코스닥
492220,KB제31호스팩,2020,2025,2020,2025,"35,952",0.0,코스닥
002380,KCC,403000,403000,397500,400000,"19,996",-0.74,코스피
021320,KCC건설,5270,5380,5230,5290,"10,775",0.19,코스닥
344820,KCC글라스,25050,25300,25000,25250,"24,471",0.6,코스피
009070,KCTC,6470,6700,6350,6610,"1,448,346",3.61,코스피
009440,KC그린홀딩스,0,0,0,756,0,0.0,코스피
112190,KC산업,1698,1698,1674,1674,42,2.26,코넥스
119650,KC코트렐,0,0,0,918,0,0.0,코스피
044180,KD,582,690,582,599,"2,685,101",2.92,코스닥
092220,KEC,706,706,687,698,"820,108",-0.85,코스피
046440,KG모빌리언스,4495,4530,4440,4530,"45,082",1.34,코스닥
003620,KG모빌리티,3430,3470,3385,3470,"532,051",2.36,코스피
